  Training |    80 | Steps:  8 | Time:  485 | Loss:   2.42709 | Score:  0
  Training |    81 | Steps:  8 | Time:  482 | Loss:   2.97515 | Score:  0
  Training |    82 | Steps: 14 | Time:  624 | Loss:   2.84104 | Score:  0
  Training |    83 | Steps:  6 | Time:  419 | Loss:   2.90410 | Score:  0
  Training |    84 | Steps:  7 | Time:  432 | Loss:   3.25126 | Score:  0
  Training |    85 | Steps: 12 | Time:  531 | Loss:   3.15659 | Score:  0
  Training |    86 | Steps: 32 | Time: 1041 | Loss:   2.87270 | Score:  0
  Training |    87 | Steps: 15 | Time:  663 | Loss:   3.11873 | Score:  0
  Training |    88 | Steps: 12 | Time:  556 | Loss:   2.64660 | Score:  0
  Training |    89 | Steps:  8 | Time:  478 | Loss:   2.77370 | Score:  0
  Training |    90 | Steps: 15 | Time:  636 | Loss:   2.79392 | Score:  0
  Training |    91 | Steps:  6 | Time:  453 | Loss:   2.68773 | Score:  0
  Training |    92 | Steps: 16 | Time:  646 | Loss:   2.95018 | Score:  1
  Training |    93 | Steps: 46 | Time: 1386 | Loss:   2.95908 | Score:  1
  Training |    94 | Steps:  7 | Time:  463 | Loss:   3.12903 | Score:  0
  Training |    95 | Steps: 19 | Time:  689 | Loss:   3.19542 | Score:  1
  Training |    96 | Steps: 19 | Time:  764 | Loss:   2.80517 | Score:  2
  Training |    97 | Steps: 25 | Time:  879 | Loss:   3.20035 | Score:  0
  Training |    98 | Steps:  8 | Time:  493 | Loss:   3.13606 | Score:  0
  Training |    99 | Steps:  7 | Time:  454 | Loss:   3.38300 | Score:  0
  Training |   100 | Steps:  6 | Time:  388 | Loss:   3.09806 | Score:  0
  Training |   101 | Steps:  7 | Time:  447 | Loss:   2.91829 | Score:  0
  Training |   102 | Steps: 12 | Time:  594 | Loss:   3.00888 | Score:  0
  Training |   103 | Steps: 11 | Time:  524 | Loss:   3.44287 | Score:  0
  Training |   104 | Steps: 14 | Time:  614 | Loss:   3.07540 | Score:  0
  Training |   105 | Steps: 12 | Time:  570 | Loss:   2.75495 | Score:  0
  Training |   106 | Steps: 13 | Time:  574 | Loss:   3.30569 | Score:  0
  Training |   107 | Steps:  6 | Time:  453 | Loss:   3.18279 | Score:  0
  Training |   108 | Steps: 15 | Time:  619 | Loss:   2.90013 | Score:  0
  Training |   109 | Steps: 22 | Time:  758 | Loss:   3.29455 | Score:  0
  Training |   110 | Steps: 16 | Time:  633 | Loss:   3.24549 | Score:  1
  Training |   111 | Steps: 13 | Time:  605 | Loss:   3.08332 | Score:  0
  Training |   112 | Steps: 12 | Time:  589 | Loss:   3.17018 | Score:  0
  Training |   113 | Steps:  8 | Time:  454 | Loss:   2.76494 | Score:  1
  Training |   114 | Steps: 14 | Time:  621 | Loss:   3.84274 | Score:  0
  Training |   115 | Steps: 38 | Time: 1136 | Loss:   3.22664 | Score:  0
  Training |   116 | Steps: 26 | Time:  880 | Loss:   2.97747 | Score:  0
  Training |   117 | Steps: 16 | Time:  660 | Loss:   2.89397 | Score:  0
  Training |   118 | Steps: 10 | Time:  541 | Loss:   3.22255 | Score:  1
  Training |   119 | Steps: 10 | Time:  540 | Loss:   3.19335 | Score:  0
  Training |   120 | Steps: 14 | Time:  629 | Loss:   3.34066 | Score:  0
  Training |   121 | Steps:  6 | Time:  423 | Loss:   3.11077 | Score:  1
  Training |   122 | Steps: 11 | Time:  550 | Loss:   3.49437 | Score:  0
  Training |   123 | Steps:  6 | Time:  439 | Loss:   3.87791 | Score:  0
  Training |   124 | Steps:  9 | Time:  510 | Loss:   3.70223 | Score:  1
  Training |   125 | Steps:  7 | Time:  478 | Loss:   3.14880 | Score:  0
  Training |   126 | Steps: 11 | Time:  495 | Loss:   3.96390 | Score:  0
  Training |   127 | Steps:  9 | Time:  496 | Loss:   3.53775 | Score:  0
  Training |   128 | Steps: 21 | Time:  745 | Loss:   3.47525 | Score:  0
  Training |   129 | Steps:  8 | Time:  449 | Loss:   3.18179 | Score:  0
  Training |   130 | Steps:  7 | Time:  467 | Loss:   3.23871 | Score:  0
  Training |   131 | Steps: 23 | Time:  729 | Loss:   3.35559 | Score:  0
  Training |   132 | Steps: 13 | Time:  539 | Loss:   3.42568 | Score:  0
  Training |   133 | Steps: 21 | Time:  746 | Loss:   3.24255 | Score:  0
  Training |   134 | Steps: 15 | Time:  584 | Loss:   3.52706 | Score:  2
  Training |   135 | Steps: 15 | Time:  611 | Loss:   3.28350 | Score:  0
  Training |   136 | Steps:  6 | Time:  415 | Loss:   3.12740 | Score:  0
  Training |   137 | Steps:  7 | Time:  450 | Loss:   3.65656 | Score:  0
  Training |   138 | Steps: 10 | Time:  575 | Loss:   3.62594 | Score:  0
  Training |   139 | Steps: 13 | Time:  569 | Loss:   3.08144 | Score:  1
  Training |   140 | Steps:  7 | Time:  412 | Loss:   3.86164 | Score:  1
  Training |   141 | Steps: 18 | Time:  649 | Loss:   4.03067 | Score:  0
  Training |   142 | Steps: 14 | Time:  598 | Loss:   3.61490 | Score:  0
  Training |   143 | Steps:  6 | Time:  438 | Loss:   3.98111 | Score:  0
  Training |   144 | Steps: 12 | Time:  539 | Loss:   3.81119 | Score:  1
  Training |   145 | Steps: 44 | Time: 1234 | Loss:   3.62895 | Score:  1
  Training |   146 | Steps:  6 | Time:  397 | Loss:   4.20085 | Score:  0
  Training |   147 | Steps: 10 | Time:  490 | Loss:   3.93468 | Score:  0
  Training |   148 | Steps:  6 | Time:  396 | Loss:   3.75100 | Score:  0
  Training |   149 | Steps:  7 | Time:  429 | Loss:   3.70342 | Score:  0
  Training |   150 | Steps: 14 | Time:  585 | Loss:   3.79778 | Score:  0
  Training |   151 | Steps: 22 | Time:  749 | Loss:   3.13736 | Score:  0
  Training |   152 | Steps: 20 | Time:  713 | Loss:   3.49099 | Score:  1
  Training |   153 | Steps:  6 | Time:  389 | Loss:   3.88498 | Score:  0
  Training |   154 | Steps:  6 | Time:  413 | Loss:   3.75595 | Score:  0
  Training |   155 | Steps: 11 | Time:  516 | Loss:   3.69507 | Score:  0
  Training |   156 | Steps:  6 | Time:  448 | Loss:   3.12960 | Score:  0
  Training |   157 | Steps: 23 | Time:  753 | Loss:   3.36875 | Score:  0
  Training |   158 | Steps:  8 | Time:  431 | Loss:   2.81855 | Score:  0
  Training |   159 | Steps:  8 | Time:  484 | Loss:   3.74033 | Score:  1
  Training |   160 | Steps: 13 | Time:  562 | Loss:   3.62673 | Score:  0
  Training |   161 | Steps:  9 | Time:  486 | Loss:   3.29235 | Score:  1
  Training |   162 | Steps: 27 | Time:  837 | Loss:   3.59639 | Score:  0
  Training |   163 | Steps:  9 | Time:  521 | Loss:   3.23535 | Score:  1
  Training |   164 | Steps: 13 | Time:  557 | Loss:   3.74045 | Score:  0
  Training |   165 | Steps:  7 | Time:  416 | Loss:   3.89222 | Score:  0
  Training |   166 | Steps: 18 | Time:  645 | Loss:   3.50464 | Score:  0
  Training |   167 | Steps:  7 | Time:  459 | Loss:   3.70123 | Score:  0
  Training |   168 | Steps: 29 | Time:  931 | Loss:   3.64606 | Score:  0
  Training |   169 | Steps:  7 | Time:  435 | Loss:   3.38396 | Score:  0
  Training |   170 | Steps: 10 | Time:  476 | Loss:   3.02664 | Score:  0
  Training |   171 | Steps: 11 | Time:  516 | Loss:   3.60181 | Score:  0
  Training |   172 | Steps:  8 | Time:  480 | Loss:   3.49357 | Score:  1
  Training |   173 | Steps: 38 | Time: 1139 | Loss:   3.58615 | Score:  0
  Training |   174 | Steps:  7 | Time:  472 | Loss:   3.46451 | Score:  0
  Training |   175 | Steps: 23 | Time:  855 | Loss:   3.88589 | Score:  1
  Training |   176 | Steps:  6 | Time:  449 | Loss:   3.87492 | Score:  0
  Training |   177 | Steps:  8 | Time:  445 | Loss:   3.61613 | Score:  0
  Training |   178 | Steps: 27 | Time:  890 | Loss:   3.76669 | Score:  0
  Training |   179 | Steps: 11 | Time:  535 | Loss:   3.38964 | Score:  0
  Training |   180 | Steps:  6 | Time:  423 | Loss:   2.98019 | Score:  0
  Training |   181 | Steps: 20 | Time:  882 | Loss:   3.97000 | Score:  1
  Training |   182 | Steps: 23 | Time:  820 | Loss:   3.59063 | Score:  1
  Training |   183 | Steps: 42 | Time: 1242 | Loss:   3.77564 | Score:  1
  Training |   184 | Steps: 32 | Time:  912 | Loss:   3.72831 | Score:  0
  Training |   185 | Steps: 14 | Time:  537 | Loss:   3.70611 | Score:  0
  Training |   186 | Steps: 14 | Time:  575 | Loss:   3.77468 | Score:  0
  Training |   187 | Steps: 13 | Time:  564 | Loss:   3.78196 | Score:  0
  Training |   188 | Steps:  7 | Time:  433 | Loss:   3.54930 | Score:  0
  Training |   189 | Steps: 27 | Time:  949 | Loss:   3.59965 | Score:  0
  Training |   190 | Steps: 17 | Time:  654 | Loss:   3.66072 | Score:  1
  Training |   191 | Steps: 12 | Time:  546 | Loss:   3.48880 | Score:  0
  Training |   192 | Steps: 27 | Time:  828 | Loss:   3.61231 | Score:  1
  Training |   193 | Steps:  9 | Time:  470 | Loss:   3.98169 | Score:  0
  Training |   194 | Steps:  7 | Time:  436 | Loss:   3.33960 | Score:  0
  Training |   195 | Steps: 25 | Time:  745 | Loss:   3.84525 | Score:  0
  Training |   196 | Steps: 23 | Time:  748 | Loss:   3.61389 | Score:  0
  Training |   197 | Steps:  6 | Time:  388 | Loss:   3.63609 | Score:  0
  Training |   198 | Steps: 16 | Time:  598 | Loss:   3.74649 | Score:  1
  Training |   199 | Steps:  6 | Time:  417 | Loss:   3.58928 | Score:  0
  Training |   200 | Steps: 11 | Time:  502 | Loss:   3.37865 | Score:  0
  Training |   201 | Steps:  7 | Time:  395 | Loss:   3.81443 | Score:  0
  Training |   202 | Steps:  8 | Time:  427 | Loss:   3.25368 | Score:  0
  Training |   203 | Steps: 20 | Time:  731 | Loss:   3.87441 | Score:  0
  Training |   204 | Steps:  9 | Time:  445 | Loss:   3.87757 | Score:  0
  Training |   205 | Steps:  6 | Time:  435 | Loss:   3.66813 | Score:  0
  Training |   206 | Steps: 11 | Time:  472 | Loss:   3.47418 | Score:  1
  Training |   207 | Steps:  9 | Time:  445 | Loss:   3.45913 | Score:  0
  Training |   208 | Steps:  6 | Time:  439 | Loss:   3.78472 | Score:  0
  Training |   209 | Steps: 12 | Time:  486 | Loss:   3.44877 | Score:  0
  Training |   210 | Steps:  6 | Time:  398 | Loss:   4.47026 | Score:  0
  Training |   211 | Steps: 26 | Time:  775 | Loss:   3.55594 | Score:  1
  Training |   212 | Steps: 24 | Time:  790 | Loss:   4.01083 | Score:  1
  Training |   213 | Steps:  6 | Time:  412 | Loss:   3.61202 | Score:  0
  Training |   214 | Steps:  7 | Time:  389 | Loss:   3.51024 | Score:  0
  Training |   215 | Steps:  7 | Time:  417 | Loss:   3.77557 | Score:  0
  Training |   216 | Steps: 14 | Time:  626 | Loss:   3.86095 | Score:  0
  Training |   217 | Steps: 32 | Time: 1341 | Loss:   3.60130 | Score:  0
  Training |   218 | Steps: 28 | Time:  790 | Loss:   3.64311 | Score:  0
  Training |   219 | Steps:  6 | Time:  392 | Loss:   3.73350 | Score:  0
  Training |   220 | Steps: 34 | Time:  965 | Loss:   3.89933 | Score:  0
