  Training |    80 | Steps: 29 | Time:  650 | Loss:   0.85511 | Score:  1
  Training |    81 | Steps:  7 | Time:  366 | Loss:   0.71544 | Score:  0
  Training |    82 | Steps:  8 | Time:  352 | Loss:   0.80669 | Score:  0
  Training |    83 | Steps: 20 | Time:  585 | Loss:   0.76203 | Score:  0
  Training |    84 | Steps: 12 | Time:  442 | Loss:   0.91507 | Score:  0
  Training |    85 | Steps:  8 | Time:  410 | Loss:   0.70222 | Score:  0
  Training |    86 | Steps:  9 | Time:  433 | Loss:   0.65974 | Score:  1
  Training |    87 | Steps: 16 | Time:  479 | Loss:   0.84462 | Score:  0
  Training |    88 | Steps:  8 | Time:  389 | Loss:   0.74497 | Score:  0
  Training |    89 | Steps:  7 | Time:  388 | Loss:   0.89725 | Score:  1
  Training |    90 | Steps: 15 | Time:  464 | Loss:   0.70892 | Score:  0
  Training |    91 | Steps:  9 | Time:  391 | Loss:   0.59949 | Score:  0
  Training |    92 | Steps:  7 | Time:  380 | Loss:   0.73578 | Score:  1
  Training |    93 | Steps: 41 | Time:  858 | Loss:   0.76418 | Score:  0
  Training |    94 | Steps:  9 | Time:  385 | Loss:   0.48446 | Score:  0
  Training |    95 | Steps: 12 | Time:  435 | Loss:   0.79590 | Score:  0
  Training |    96 | Steps: 15 | Time:  456 | Loss:   0.85661 | Score:  0
  Training |    97 | Steps: 10 | Time:  416 | Loss:   0.77525 | Score:  0
  Training |    98 | Steps: 12 | Time:  435 | Loss:   0.63047 | Score:  0
  Training |    99 | Steps: 20 | Time:  575 | Loss:   0.73498 | Score:  0
  Training |   100 | Steps: 14 | Time:  464 | Loss:   0.61046 | Score:  0
  Training |   101 | Steps:  7 | Time:  394 | Loss:   0.74854 | Score:  0
  Training |   102 | Steps: 14 | Time:  508 | Loss:   0.65863 | Score:  1
  Training |   103 | Steps: 10 | Time:  430 | Loss:   0.58244 | Score:  0
  Training |   104 | Steps: 11 | Time:  412 | Loss:   0.72404 | Score:  0
  Training |   105 | Steps:  6 | Time:  360 | Loss:   0.70990 | Score:  0
  Training |   106 | Steps: 24 | Time:  638 | Loss:   0.65762 | Score:  0
  Training |   107 | Steps: 10 | Time:  429 | Loss:   0.68015 | Score:  1
  Training |   108 | Steps:  6 | Time:  349 | Loss:   0.82544 | Score:  0
  Training |   109 | Steps: 16 | Time:  484 | Loss:   0.60048 | Score:  0
  Training |   110 | Steps: 11 | Time:  396 | Loss:   0.77035 | Score:  0
  Training |   111 | Steps:  6 | Time:  336 | Loss:   0.88843 | Score:  0
  Training |   112 | Steps: 15 | Time:  447 | Loss:   0.77510 | Score:  0
  Training |   113 | Steps:  6 | Time:  379 | Loss:   0.55050 | Score:  0
  Training |   114 | Steps: 21 | Time:  542 | Loss:   0.70359 | Score:  0
  Training |   115 | Steps:  6 | Time:  351 | Loss:   0.67973 | Score:  1
  Training |   116 | Steps:  6 | Time:  333 | Loss:   0.56841 | Score:  0
  Training |   117 | Steps: 18 | Time:  498 | Loss:   0.71464 | Score:  0
  Training |   118 | Steps:  9 | Time:  430 | Loss:   0.71670 | Score:  0
  Training |   119 | Steps: 24 | Time:  606 | Loss:   0.62150 | Score:  1
  Training |   120 | Steps:  6 | Time:  376 | Loss:   0.82123 | Score:  0
  Training |   121 | Steps:  8 | Time:  353 | Loss:   0.87569 | Score:  0
  Training |   122 | Steps:  7 | Time:  399 | Loss:   0.71016 | Score:  0
  Training |   123 | Steps: 13 | Time:  484 | Loss:   0.73251 | Score:  0
  Training |   124 | Steps:  7 | Time:  392 | Loss:   0.55893 | Score:  0
  Training |   125 | Steps: 15 | Time:  444 | Loss:   0.74151 | Score:  0
  Training |   126 | Steps: 22 | Time:  575 | Loss:   0.78208 | Score:  0
  Training |   127 | Steps: 27 | Time:  661 | Loss:   0.55140 | Score:  1
  Training |   128 | Steps: 16 | Time:  468 | Loss:   0.57841 | Score:  0
  Training |   129 | Steps: 15 | Time:  465 | Loss:   0.64271 | Score:  0
  Training |   130 | Steps:  6 | Time:  343 | Loss:   0.64755 | Score:  1
  Training |   131 | Steps:  8 | Time:  388 | Loss:   0.98998 | Score:  0
  Training |   132 | Steps: 13 | Time:  494 | Loss:   0.84806 | Score:  0
  Training |   133 | Steps: 11 | Time:  455 | Loss:   0.65355 | Score:  0
  Training |   134 | Steps: 17 | Time:  480 | Loss:   0.71494 | Score:  1
  Training |   135 | Steps:  8 | Time:  410 | Loss:   0.66804 | Score:  0
  Training |   136 | Steps:  7 | Time:  401 | Loss:   0.69638 | Score:  0
  Training |   137 | Steps:  7 | Time:  404 | Loss:   0.56643 | Score:  0
  Training |   138 | Steps: 21 | Time:  571 | Loss:   0.58657 | Score:  1
  Training |   139 | Steps:  6 | Time:  370 | Loss:   0.75721 | Score:  0
  Training |   140 | Steps:  8 | Time:  359 | Loss:   0.73712 | Score:  0
  Training |   141 | Steps: 29 | Time:  693 | Loss:   0.66396 | Score:  1
  Training |   142 | Steps:  8 | Time:  389 | Loss:   0.67569 | Score:  0
  Training |   143 | Steps: 10 | Time:  428 | Loss:   0.58121 | Score:  0
  Training |   144 | Steps: 27 | Time:  643 | Loss:   0.67297 | Score:  1
  Training |   145 | Steps: 14 | Time:  500 | Loss:   0.80439 | Score:  0
  Training |   146 | Steps: 17 | Time:  608 | Loss:   0.63193 | Score:  0
  Training |   147 | Steps:  8 | Time:  397 | Loss:   0.63471 | Score:  0
  Training |   148 | Steps: 10 | Time:  458 | Loss:   0.72925 | Score:  0
  Training |   149 | Steps: 11 | Time:  476 | Loss:   0.78042 | Score:  0
  Training |   150 | Steps:  6 | Time:  404 | Loss:   0.84672 | Score:  1
  Training |   151 | Steps: 13 | Time:  477 | Loss:   0.63857 | Score:  0
  Training |   152 | Steps:  9 | Time:  427 | Loss:   0.68399 | Score:  0
