  Training |    80 | Steps:  6 | Time:  413 | Loss:   4.74867 | Score:  0
  Training |    81 | Steps:  6 | Time:  419 | Loss:   4.63574 | Score:  0
  Training |    82 | Steps: 14 | Time:  525 | Loss:   4.77280 | Score:  0
  Training |    83 | Steps: 19 | Time:  671 | Loss:   4.38052 | Score:  0
  Training |    84 | Steps: 14 | Time:  566 | Loss:   4.55664 | Score:  0
  Training |    85 | Steps: 41 | Time: 1029 | Loss:   4.23673 | Score:  0
  Training |    86 | Steps:  7 | Time:  461 | Loss:   4.09636 | Score:  0
  Training |    87 | Steps: 10 | Time:  467 | Loss:   4.29286 | Score:  1
  Training |    88 | Steps: 18 | Time:  624 | Loss:   4.52007 | Score:  0
  Training |    89 | Steps: 23 | Time:  690 | Loss:   4.46233 | Score:  1
  Training |    90 | Steps: 16 | Time:  618 | Loss:   4.51972 | Score:  1
  Training |    91 | Steps: 14 | Time:  565 | Loss:   4.75185 | Score:  0
  Training |    92 | Steps:  6 | Time:  407 | Loss:   4.36684 | Score:  0
  Training |    93 | Steps:  8 | Time:  440 | Loss:   4.66071 | Score:  0
  Training |    94 | Steps:  8 | Time:  450 | Loss:   4.29869 | Score:  0
  Training |    95 | Steps:  7 | Time:  405 | Loss:   4.69427 | Score:  0
  Training |    96 | Steps: 10 | Time:  460 | Loss:   4.33465 | Score:  0
  Training |    97 | Steps:  6 | Time:  413 | Loss:   4.58510 | Score:  0
  Training |    98 | Steps: 15 | Time:  551 | Loss:   4.36505 | Score:  1
  Training |    99 | Steps: 12 | Time:  493 | Loss:   4.42443 | Score:  0
  Training |   100 | Steps:  6 | Time:  433 | Loss:   4.34205 | Score:  0
  Training |   101 | Steps: 10 | Time:  478 | Loss:   4.54572 | Score:  0
  Training |   102 | Steps:  9 | Time:  458 | Loss:   5.34296 | Score:  1
  Training |   103 | Steps:  6 | Time:  407 | Loss:   4.86578 | Score:  0
  Training |   104 | Steps:  9 | Time:  472 | Loss:   4.29655 | Score:  0
  Training |   105 | Steps: 10 | Time:  502 | Loss:   4.80844 | Score:  0
  Training |   106 | Steps:  6 | Time:  383 | Loss:   4.67745 | Score:  0
  Training |   107 | Steps:  9 | Time:  476 | Loss:   4.78089 | Score:  1
  Training |   108 | Steps: 10 | Time:  484 | Loss:   4.62307 | Score:  0
  Training |   109 | Steps: 17 | Time:  590 | Loss:   4.50094 | Score:  0
  Training |   110 | Steps:  6 | Time:  412 | Loss:   4.91538 | Score:  0
  Training |   111 | Steps:  7 | Time:  415 | Loss:   4.79287 | Score:  0
  Training |   112 | Steps:  9 | Time:  430 | Loss:   4.37316 | Score:  1
  Training |   113 | Steps:  6 | Time:  425 | Loss:   5.33869 | Score:  0
  Training |   114 | Steps: 25 | Time:  768 | Loss:   4.48066 | Score:  0
  Training |   115 | Steps:  6 | Time:  386 | Loss:   4.50847 | Score:  0
  Training |   116 | Steps:  9 | Time:  469 | Loss:   4.97072 | Score:  0
  Training |   117 | Steps:  9 | Time:  472 | Loss:   5.34234 | Score:  0
  Training |   118 | Steps: 16 | Time:  612 | Loss:   4.37253 | Score:  0
  Training |   119 | Steps:  8 | Time:  462 | Loss:   4.38660 | Score:  1
  Training |   120 | Steps: 27 | Time:  823 | Loss:   4.92663 | Score:  0
  Training |   121 | Steps: 16 | Time:  618 | Loss:   4.77747 | Score:  0
  Training |   122 | Steps: 12 | Time:  538 | Loss:   4.86803 | Score:  1
  Training |   123 | Steps:  7 | Time:  433 | Loss:   5.16415 | Score:  0
  Training |   124 | Steps: 16 | Time:  589 | Loss:   4.31179 | Score:  0
  Training |   125 | Steps: 12 | Time:  543 | Loss:   5.19740 | Score:  0
  Training |   126 | Steps:  8 | Time:  458 | Loss:   4.71843 | Score:  1
  Training |   127 | Steps:  9 | Time:  467 | Loss:   4.83200 | Score:  0
  Training |   128 | Steps:  6 | Time:  437 | Loss:   5.41373 | Score:  0
  Training |   129 | Steps: 11 | Time:  490 | Loss:   5.12307 | Score:  0
  Training |   130 | Steps: 16 | Time:  578 | Loss:   5.23576 | Score:  0
  Training |   131 | Steps: 13 | Time:  541 | Loss:   4.64697 | Score:  1
  Training |   132 | Steps:  9 | Time:  477 | Loss:   4.73393 | Score:  0
  Training |   133 | Steps: 26 | Time:  811 | Loss:   4.62927 | Score:  1
  Training |   134 | Steps: 13 | Time:  549 | Loss:   4.71385 | Score:  0
  Training |   135 | Steps: 20 | Time:  698 | Loss:   4.80277 | Score:  0
  Training |   136 | Steps: 11 | Time:  519 | Loss:   4.84970 | Score:  0
  Training |   137 | Steps:  7 | Time:  447 | Loss:   5.28260 | Score:  0
  Training |   138 | Steps:  7 | Time:  475 | Loss:   5.33416 | Score:  0
  Training |   139 | Steps: 19 | Time:  711 | Loss:   4.52385 | Score:  0
  Training |   140 | Steps: 16 | Time:  625 | Loss:   4.65401 | Score:  0
  Training |   141 | Steps:  6 | Time:  409 | Loss:   4.36078 | Score:  0
  Training |   142 | Steps:  7 | Time:  446 | Loss:   4.63045 | Score:  1
  Training |   143 | Steps:  6 | Time:  426 | Loss:   5.18592 | Score:  0
  Training |   144 | Steps: 12 | Time:  554 | Loss:   4.85124 | Score:  0
  Training |   145 | Steps: 14 | Time:  586 | Loss:   4.47391 | Score:  0
  Training |   146 | Steps:  9 | Time:  503 | Loss:   4.43947 | Score:  0
