  Training |     1 | Steps:  7 | Time: 2875 | Loss:  28.50340 | Score:  0
  Training |     2 | Steps: 25 | Time:  726 | Loss:  75.25047 | Score:  0
  Training |     3 | Steps: 45 | Time: 1235 | Loss:  49.54580 | Score:  0
  Training |     4 | Steps:  8 | Time:  476 | Loss:  55.31665 | Score:  0
  Training |     5 | Steps:  6 | Time:  433 | Loss:  53.94665 | Score:  0
  Training |     6 | Steps: 11 | Time:  519 | Loss:  58.66907 | Score:  0
  Training |     7 | Steps:  6 | Time:  436 | Loss:  70.70266 | Score:  0
  Training |     8 | Steps: 13 | Time:  619 | Loss:  68.72509 | Score:  0
  Training |     9 | Steps: 16 | Time:  650 | Loss:  70.34743 | Score:  0
  Training |    10 | Steps: 36 | Time: 1096 | Loss:  55.90311 | Score:  0
  Training |    11 | Steps:  6 | Time:  405 | Loss:  54.19200 | Score:  0
  Training |    12 | Steps:  6 | Time:  422 | Loss:  51.60226 | Score:  0
  Training |    13 | Steps:  8 | Time:  489 | Loss:  54.75532 | Score:  0
  Training |    14 | Steps:  7 | Time:  445 | Loss:  60.06386 | Score:  0
  Training |    15 | Steps: 33 | Time:  990 | Loss:  51.92230 | Score:  0
  Training |    16 | Steps:  9 | Time:  476 | Loss:  47.50741 | Score:  1
  Training |    17 | Steps: 19 | Time:  681 | Loss:  42.23745 | Score:  1
  Training |    18 | Steps:  8 | Time:  462 | Loss:  40.39889 | Score:  0
  Training |    19 | Steps: 15 | Time:  627 | Loss:  36.40437 | Score:  0
  Training |    20 | Steps:  6 | Time:  432 | Loss:  32.79182 | Score:  0
  Training |    21 | Steps: 14 | Time:  587 | Loss:  33.72784 | Score:  0
  Training |    22 | Steps: 24 | Time:  886 | Loss:  26.96314 | Score:  0
  Training |    23 | Steps:  6 | Time:  444 | Loss:  25.39105 | Score:  0
  Training |    24 | Steps: 10 | Time:  490 | Loss:  23.67265 | Score:  1
  Training |    25 | Steps: 13 | Time:  636 | Loss:  20.90191 | Score:  0
  Training |    26 | Steps:  6 | Time:  449 | Loss:  19.54718 | Score:  0
  Training |    27 | Steps:  6 | Time:  477 | Loss:  18.47937 | Score:  0
  Training |    28 | Steps: 13 | Time:  610 | Loss:  20.99404 | Score:  0
  Training |    29 | Steps: 11 | Time:  552 | Loss:  19.54855 | Score:  0
  Training |    30 | Steps:  6 | Time:  466 | Loss:  18.47978 | Score:  0
  Training |    31 | Steps: 56 | Time: 1491 | Loss:  14.78000 | Score:  0
  Training |    32 | Steps: 10 | Time:  486 | Loss:  12.41052 | Score:  0
  Training |    33 | Steps:  7 | Time:  479 | Loss:  12.79393 | Score:  0
  Training |    34 | Steps: 11 | Time:  590 | Loss:  11.61626 | Score:  0
  Training |    35 | Steps:  6 | Time:  421 | Loss:  11.59555 | Score:  0
  Training |    36 | Steps: 15 | Time:  610 | Loss:  10.72782 | Score:  0
  Training |    37 | Steps:  6 | Time:  406 | Loss:   9.56617 | Score:  0
  Training |    38 | Steps: 19 | Time:  701 | Loss:   9.70680 | Score:  0
  Training |    39 | Steps: 13 | Time:  608 | Loss:   8.89547 | Score:  1
  Training |    40 | Steps: 22 | Time:  823 | Loss:   8.45991 | Score:  0
  Training |    41 | Steps: 10 | Time:  554 | Loss:   8.14220 | Score:  0
  Training |    42 | Steps:  7 | Time:  479 | Loss:   7.36700 | Score:  0
  Training |    43 | Steps: 12 | Time:  572 | Loss:   7.93258 | Score:  0
  Training |    44 | Steps: 12 | Time:  536 | Loss:   7.66135 | Score:  0
  Training |    45 | Steps: 13 | Time:  608 | Loss:   7.23353 | Score:  0
  Training |    46 | Steps: 25 | Time:  832 | Loss:   7.08629 | Score:  1
  Training |    47 | Steps: 11 | Time:  503 | Loss:   7.00825 | Score:  0
  Training |    48 | Steps:  6 | Time:  446 | Loss:   6.84176 | Score:  0
  Training |    49 | Steps: 20 | Time:  711 | Loss:   6.91340 | Score:  1
  Training |    50 | Steps: 32 | Time: 1004 | Loss:   6.50593 | Score:  0
  Training |    51 | Steps:  6 | Time:  465 | Loss:   6.60639 | Score:  0
  Training |    52 | Steps: 11 | Time:  499 | Loss:   7.04594 | Score:  0
  Training |    53 | Steps: 28 | Time:  942 | Loss:   6.54273 | Score:  0
  Training |    54 | Steps:  7 | Time:  474 | Loss:   6.84989 | Score:  0
  Training |    55 | Steps: 46 | Time: 1325 | Loss:   6.12029 | Score:  0
  Training |    56 | Steps:  9 | Time:  481 | Loss:   6.30635 | Score:  1
  Training |    57 | Steps: 10 | Time:  504 | Loss:   6.30738 | Score:  0
  Training |    58 | Steps: 24 | Time:  798 | Loss:   5.75607 | Score:  0
  Training |    59 | Steps:  6 | Time:  471 | Loss:   5.65250 | Score:  0
  Training |    60 | Steps: 28 | Time:  879 | Loss:   5.65717 | Score:  0
  Training |    61 | Steps: 14 | Time:  578 | Loss:   5.60553 | Score:  0
  Training |    62 | Steps: 13 | Time:  599 | Loss:   5.67602 | Score:  0
  Training |    63 | Steps: 21 | Time:  776 | Loss:   5.48680 | Score:  0
  Training |    64 | Steps:  6 | Time:  415 | Loss:   5.74142 | Score:  0
  Training |    65 | Steps: 12 | Time:  516 | Loss:   5.18534 | Score:  0
  Training |    66 | Steps: 10 | Time:  513 | Loss:   5.23133 | Score:  0
  Training |    67 | Steps:  7 | Time:  471 | Loss:   5.42127 | Score:  0
  Training |    68 | Steps:  6 | Time:  434 | Loss:   5.47026 | Score:  0
  Training |    69 | Steps: 26 | Time:  863 | Loss:   5.58800 | Score:  0
  Training |    70 | Steps: 19 | Time:  702 | Loss:   5.30500 | Score:  0
  Training |    71 | Steps: 14 | Time:  621 | Loss:   5.31177 | Score:  1
  Training |    72 | Steps: 27 | Time:  889 | Loss:   5.61996 | Score:  0
  Training |    73 | Steps:  6 | Time:  402 | Loss:   5.66504 | Score:  0
  Training |    74 | Steps:  6 | Time:  403 | Loss:   5.69667 | Score:  0
  Training |    75 | Steps:  6 | Time:  385 | Loss:   5.57223 | Score:  0
  Training |    76 | Steps:  7 | Time:  432 | Loss:   5.64068 | Score:  0
  Training |    77 | Steps: 28 | Time:  871 | Loss:   5.77137 | Score:  0
  Training |    78 | Steps: 10 | Time:  517 | Loss:   5.31780 | Score:  0
  Training |    79 | Steps: 10 | Time:  538 | Loss:   5.31244 | Score:  0
  Training |    80 | Steps: 12 | Time:  599 | Loss:   5.33771 | Score:  0
  Training |    81 | Steps: 19 | Time:  772 | Loss:   5.69059 | Score:  0
